"record_count","total_passengers","origin_airport_id","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR"
1290,639009,11111,"Columbia, MO","MO"
1286,1047448,12915,"Lake Charles, LA","LA"
1284,894622,11274,"Dubuque, IA","IA"
1281,258904,14288,"Pueblo, CO","CO"
1281,538205,14520,"Rhinelander, WI","WI"
1271,569308,13289,"Marsh Harbour, The Bahamas",""
1267,4399,14559,"Rampart, AK","AK"
1255,690702,14113,"Pocatello, ID","ID"
1253,1143232,13370,"Morelia, Mexico",""
1252,28800,15856,"Westsound, WA","WA"
1249,362857,16252,"London, Canada","ON"
1223,8519,12866,"Karluk, AK","AK"
1212,5298,15444,"Pilot Point, AK","AK"
1201,828458,11950,"Grenada, Grenada",""
1188,155687,12055,"Gary, IN","IN"
1188,1474460,15411,"Tyler, TX","TX"
1188,2855024,11793,"Fukuoka, Japan",""
1188,4589838,10372,"Aspen, CO","CO"
1187,422099,14278,"Pointe A Pitre, Guadeloupe",""
1182,15611,12348,"Winston-Salem, NC","NC"
1181,13109,11375,"Dover, DE","DE"
1181,11065,11643,"Fairbanks, AK","AK"
1178,498170,11495,"Houston, TX","TX"
1178,32677,14477,"Roche Harbor, WA","WA"
1176,819957,15589,"Las Vegas, NV","NV"
1174,3887265,13694,"Nagoya, Japan",""
1165,265999,14120,"Pierre, SD","SD"
