"description","record_count","total_passengers","origin_airport_dot_id","origin_airport_iata","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_WAC","airport_type","latitude","longitude","iso_country","municipality","iso_region","gps_code","local_code","continent","elevation_feet"
"Port Bailey, AK: Port Bailey Airport",315,565,12785,"KPY","Port Bailey, AK","AK",1,"seaplane_base",57.9300994873,-153.041000366,"US","Port Bailey","US-AK","KPY","KPY","NA",0
"San Andros, The Bahamas: San Andros Airport",7,560,14682,"SAQ","San Andros, The Bahamas","",204,"medium_airport",25.0538005828857,-78.0490036010742,"BS","Andros Island","BS-NB","MYAN","","NA",5
"Finningley, United Kingdom: Doncaster Sheffield",7,533,11418,"DSA","Finningley, United Kingdom","",493,"large_airport",53.4805378105,-1.01065635681,"GB","Doncaster","GB-ENG","EGCN","","EU",55
"Memanbetsu, Japan: Memanbetsu Airport",3,524,13384,"MMB","Memanbetsu, Japan","",736,"medium_airport",43.8805999756,144.164001465,"JP","Ōzora","JP-01","RJCM","","AS",135
"Toulouse, France: Toulouse Blagnac",11,524,15256,"TLS","Toulouse, France","",427,"large_airport",43.6291007995605,1.36381995677948,"FR","Toulouse/Blagnac","FR-N","LFBO","","EU",499
"Seoul, South Korea: Seoul AB",3,516,15000,"SSN","Seoul, South Korea","",778,"medium_airport",37.44580078125,127.113998413086,"KR","","KR-41","RKSM","","AS",92
"Manus Island, Papua New Guinea: Momote",1,510,13170,"MAS","Manus Island, Papua New Guinea","",804,"medium_airport",-2.06188988685608,147.42399597168,"PG","","PG-MRL","AYMO","","OC",12
"Tokyo, Japan: Hyakuri",3,487,16408,"IBR","Tokyo, Japan","",736,"medium_airport",36.181098938,140.414993286,"JP","Omitama","JP-08","RJAH","","AS",105
"Moscow, Russia: Vnukovo",111,473,15604,"VKO","Moscow, Russia","",475,"large_airport",55.5914993286,37.2615013123,"RU","Moscow","RU-MOS","UUWW","","EU",685
"Port Williams, AK: Port Williams Airport",301,470,12782,"KPR","Port Williams, AK","AK",1,"seaplane_base",58.4901008606,-152.582000732,"US","Port Williams","US-AK","KPR","KPR","NA",0
"Provideniya, Russia: Provideniya Bay",109,450,14313,"PVS","Provideniya, Russia","",770,"medium_airport",64.3780975341797,-173.24299621582,"RU","Chukotka","RU-CHU","UHMD","","EU",72
"Rocky Mount, NC: Rocky Mount-Wilson Regional",248,448,14656,"RWI","Rocky Mount, NC","NC",36,"medium_airport",35.8563003540039,-77.8918991088867,"US","Rocky Mount","US-NC","KRWI","RWI","NA",159
"Soldotna, AK: Soldotna Airport",75,438,15086,"SXQ","Soldotna, AK","AK",1,"medium_airport",60.475700378418,-151.033996582031,"US","Soldotna","US-AK","PASX","SXQ","NA",113
"Matsumoto, Japan: Matsumoto Airport",4,435,13390,"MMJ","Matsumoto, Japan","",736,"medium_airport",36.1668014526367,137.923004150391,"JP","Matsumoto","JP-20","RJAF","","AS",2182
